T SUM NUM_NODES 5644
T SUM NUM_PRUNES 0
T SUM SEARCH_TIME 0.344085

Solving normal LP:
Solving with simplex method...done!
CPXlpopt ended with status 0!
CPXlpopt ended with lpstat 1!
Obj: w = 1 / 3 == 0.333333
Assigning optimum fraction and reducing LP.
temp_error_term = 0.0000001000
num_rounded = 72, num_remaining = 113
                                  w =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(1,0,0,1,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,1,_,_,_,_) =          1 /          8 == 0.1250000000 =/= 0.1250000000
             d1r2a(1,0,1,1,_,_,_,_) =         -5 /         12 == -0.4166666667 =/= -0.4166666667
             d1r2a(0,1,1,0,1,1,_,_) =          1 /          8 == 0.1250000000 =/= 0.1250000000
             d1r2a(0,1,1,0,0,1,1,1) =          1 /          4 == 0.2500000000 =/= 0.2500000000
             d1r2a(0,1,0,1,1,1,_,_) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,1,0,1,0,1,1,1) =          1 /          4 == 0.2500000000 =/= 0.2500000000
             d1r2a(0,1,0,0,1,1,1,1) =          1 /          4 == 0.2500000000 =/= 0.2500000000
             d1r2a(0,1,0,0,0,1,1,1) =          1 /          4 == 0.2500000000 =/= 0.2500000000
             d1r2a(0,1,0,1,0,1,0,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,1,0,0,1,1,0,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,1,0,0,0,1,0,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,1,0,1,0,1,1,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(0,1,1,0,0,1,1,0) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,1,0,0,0,1,1,0) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,1,0,1,0,0,1,1) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(0,1,1,0,1,0,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,1,0,0,1,0,1,1) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(0,1,1,0,0,0,1,1) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,1,0,0,0,0,1,1) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(1,0,0,0,1,1,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(1,0,1,0,0,1,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(1,0,1,0,0,1,1,0) =         -1 /          8 == -0.1250000000 =/= -0.1250000000
             d1r2a(1,0,1,0,0,1,0,0) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
             d1r2a(0,1,0,0,0,0,0,1) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,1,0,1,1,0,1,0) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,1,0,1,0,1,0,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(1,0,0,1,0,0,0,0) =         -1 /          3 == -0.3333333333 =/= -0.3333333333
             d1r2a(1,0,0,0,1,1,0,0) =         -1 /          6 == -0.1666666667 =/= -0.1666666667
             d1r2a(0,1,1,0,0,0,1,0) =          1 /          6 == 0.1666666667 =/= 0.1666666667
             d1r2a(0,1,0,0,0,0,1,0) =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,1,0,0,1,1,1,0) =          1 /         24 == 0.0416666667 =/= 0.0416666667
             d1r2a(0,1,0,1,1,0,1,1) =          5 /         24 == 0.2083333333 =/= 0.2083333333
             d1r2a(1,0,1,0,0,1,0,1) =          1 /         24 == 0.0416666667 =/= 0.0416666667
             d1r2a(0,1,1,0,1,0,0,1) =          7 /         24 == 0.2916666667 =/= 0.2916666667
             d1r2a(1,0,1,0,0,0,0,1) =         -7 /         24 == -0.2916666667 =/= -0.2916666667
             d1r2a(1,0,0,1,0,1,0,1) =          1 /         24 == 0.0416666667 =/= 0.0416666667
             d1r2a(1,0,0,1,0,0,1,1) =         -5 /         24 == -0.2083333333 =/= -0.2083333333
             d1r2a(1,0,0,1,0,0,0,1) =         -7 /         24 == -0.2916666667 =/= -0.2916666667
             d1r2a(1,0,0,1,0,0,1,0) =         -1 /         24 == -0.0416666667 =/= -0.0416666667
             d1r2a(0,1,1,0,1,0,1,0) =          1 /         24 == 0.0416666667 =/= 0.0416666667
             d1r2a(1,0,0,0,1,0,1,0) =         -1 /         24 == -0.0416666667 =/= -0.0416666667

Now          0 of        113 variables and          0 of        711 constraints are remaining.
Maximum error with w : 0 / 1 == 0.000000
Maximum error without w : 0 / 1 == 0.000000
LP is feasible.
Optimum Value: 0.333333 == 1 / 3.
